player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG,season
2369,Toni Kroos,36,3066,2,2.0559654906392097,7,4.554133364930749,34,71,M,Real Madrid,2,2.0559654906392097,2014/15
2390,Víctor Camarasa,24,1808,2,0.966586496680975,1,0.6046940758824348,20,9,D M S,Levante,2,0.966586496680975,2014/15
2394,Etxeita,24,1970,2,1.9674331061542034,0,0.06901729851961136,7,3,D S,Athletic Club,2,1.9674331061542034,2014/15
2397,Beñat,28,1713,2,0.8584061898291111,2,2.8112501073628664,25,34,M S,Athletic Club,2,0.8584061898291111,2014/15
2398,Iturraspe,25,1811,2,0.633895087055862,0,1.176701381802559,11,10,M S,Athletic Club,2,0.633895087055862,2014/15
2414,Grzegorz Krychowiak,32,2718,2,2.0900038918480277,1,1.0514321196824312,34,5,M S,Sevilla,2,2.0900038918480277,2014/15
2486,Alberto Lopo,30,2676,2,0.6388668790459633,0,0.30053699389100075,10,2,D,Deportivo La Coruna,2,0.6388668790459633,2014/15
2488,Raúl Baena,28,2347,2,1.4992853626608849,0,0.18082900438457727,16,5,M,Rayo Vallecano,2,1.4992853626608849,2014/15
2537,Sandro Ramírez,7,142,2,1.857080616056919,0,0,8,0,S,Barcelona,2,1.857080616056919,2014/15
2573,Ángel Lafita,15,1076,2,2.2238728161901236,1,0.30590279772877693,34,4,F M S,Getafe,2,2.2238728161901236,2014/15
2590,Haris Medunjanin,24,1494,2,2.588419704698026,0,1.1361375926062465,28,18,M S,Deportivo La Coruna,1,1.1018634969368577,2014/15
2655,Alfred Finnbogason,25,779,2,2.2576827704906464,1,0.7208223901689053,14,8,F S,Real Sociedad,2,2.2576827704906464,2014/15
4036,José Rodríguez,25,1500,2,2.3203193824738264,1,0.8778553018346429,24,13,M S,Deportivo La Coruna,2,2.3203193824738264,2014/15
4042,Míchel Macedo,14,1205,2,1.6783159971237183,0,0.7831450924277306,14,7,D S,Almeria,2,1.6783159971237183,2014/15
4050,Jonathan,27,1552,2,3.3005438866093755,1,2.8074891567230225,36,21,F M S,Almeria,2,3.3005438866093755,2014/15
4081,Javier Espinosa,21,1006,2,1.8660963103175163,0,2.005188090726733,14,19,M S,"Almeria,Villarreal",2,1.8660963103175163,2014/15
4086,Fredy Hinestroza,33,1837,2,2.9950341740623116,2,1.3241429352201521,34,14,F M S,Getafe,2,2.9950341740623116,2014/15
4093,Xavi,31,1778,2,2.16897951066494,8,6.04245572630316,28,53,M S,Barcelona,2,2.16897951066494,2014/15
4111,Rodrigues,31,1556,2,1.9110535858199,1,1.954508762806654,32,13,M S,Elche,2,1.9110535858199,2014/15
4130,Raúl Navas,29,2459,2,0.6924522379413247,0,0.14291159994900227,13,3,D S,Eibar,2,0.6924522379413247,2014/15
59,Emiliano Insúa,24,1790,1,0.8059021001681685,2,0.9284915942698717,16,19,D S,Rayo Vallecano,1,0.8059021001681685,2014/15
506,Joel Campbell,16,1213,1,1.92168028652668,0,2.609559213742614,24,23,F M,Villarreal,1,1.92168028652668,2014/15
565,Nyom,34,2990,1,0.7183917220681906,0,1.7562757255509496,11,20,D,Granada,1,0.7183917220681906,2014/15
576,Mario Suárez,20,1126,1,1.5392168071120977,0,0.3447608910501003,13,8,M S,Atletico Madrid,1,1.5392168071120977,2014/15
591,Gerard Deulofeu,17,795,1,2.3879646081477404,5,2.121356088668108,16,15,F M S,Sevilla,1,2.3879646081477404,2014/15
670,Carles Gil,8,261,1,0.5365468952804804,1,0.6169101893901825,3,8,M S,Valencia,1,0.5365468952804804,2014/15
1108,Lucas Orban,22,880,1,0.840503990650177,1,0.24276100099086761,1,3,D S,Valencia,1,0.840503990650177,2014/15
1145,Rodrigo de Paul,25,711,1,1.6855954937636852,4,3.1780324103310704,23,17,F M S,Valencia,1,1.6855954937636852,2014/15
1704,Álvaro Arbeloa,22,1104,1,1.9594789743423462,5,2.4808394871652126,3,19,D S,Real Madrid,1,1.9594789743423462,2014/15
1706,Antonio Barragán,34,2846,1,0.5258551109582186,2,1.1268683169037104,5,12,D M S,Valencia,1,0.5258551109582186,2014/15
1724,Isaac Success,19,918,1,2.2226880751550198,1,0.8674561306834221,14,7,F S,Granada,1,2.2226880751550198,2014/15
2024,Diogo Figueiras,24,1841,1,0.9351423028856516,2,1.722646027803421,19,14,D M S,Sevilla,1,0.9351423028856516,2014/15
2062,Nico Pareja,26,2280,1,0.6191877014935017,1,2.2937586046755314,9,9,D,Sevilla,1,0.6191877014935017,2014/15
2063,Timothée Kolodziejczak,18,1576,1,0.15832010097801685,0,1.2090411856770515,4,4,D,Sevilla,1,0.15832010097801685,2014/15
2069,Daniel Carriço,28,2517,1,0.6677217967808247,0,0.3250744976103306,14,4,D M,Sevilla,1,0.6677217967808247,2014/15
2077,Jean-Sylvain Babin,34,3031,1,1.1238680090755224,0,0.27823189925402403,11,6,D,Granada,1,1.1238680090755224,2014/15
2093,Jordi Alba,27,2336,1,2.623541111126542,3,3.402686797082424,18,27,D,Barcelona,1,2.623541111126542,2014/15
2095,Sergio Busquets,33,2493,1,0.7489578146487474,2,1.5559155829250813,7,17,M S,Barcelona,1,0.7489578146487474,2014/15
2100,Rafinha,24,1149,1,1.0632960172370076,1,0.9242738001048565,12,8,F M S,Barcelona,1,1.0632960172370076,2014/15
2106,Munir,10,467,1,2.889257188886404,1,0.2769458005204797,18,4,F S,Barcelona,1,2.889257188886404,2014/15
2118,Paco Montañés,25,1060,1,1.179540536366403,1,1.380974205210805,19,8,M S,Espanyol,1,1.179540536366403,2014/15
2126,Mauro Dos Santos,29,2297,1,0.6817970899865031,0,0.10969519801437855,11,2,D S,Almeria,1,0.6817970899865031,2014/15
2130,Dani García,34,2972,1,0.377994897775352,2,0.5380874704569578,17,12,M,Eibar,1,0.377994897775352,2014/15
2160,Antonio Amaya,19,1591,1,0.37208540365099907,0,0,5,0,D,Rayo Vallecano,1,0.37208540365099907,2014/15
2162,Roberto Trashorras,33,2890,1,1.7923012739047408,4,4.091576535254717,42,57,M,Rayo Vallecano,1,1.7923012739047408,2014/15
